"","1097677.33.faa","1874630.22.faa","1874630.26.faa","31963.54.faa","31963.56.faa","31964.81.faa","31964.84.faa","31965.20.faa","31965.24.faa","33014.40.faa","33014.42.faa","443906.110.faa","gene","more_than_half"
"1",1,0,0,1,1,1,1,1,1,1,1,1,"30_fig-1097677.33.peg.30.faa",TRUE
"2",1,0,0,1,1,1,1,1,1,1,1,1,"31_fig-1097677.33.peg.31.faa",TRUE
"3",1,0,0,1,1,1,1,0,0,1,1,0,"110_fig-1097677.33.peg.110.faa",TRUE
"4",1,0,0,1,1,1,1,0,0,1,1,1,"155_fig-1097677.33.peg.155.faa",TRUE
"5",1,0,0,1,1,1,1,1,1,0,0,1,"157_fig-1097677.33.peg.157.faa",TRUE
"6",1,0,0,1,1,1,1,1,1,0,0,1,"158_fig-1097677.33.peg.158.faa",TRUE
"7",1,1,0,1,1,1,1,1,1,1,1,1,"183_fig-1097677.33.peg.183.faa",TRUE
"8",1,1,0,1,1,1,1,0,0,1,1,1,"210_fig-1097677.33.peg.210.faa",TRUE
"9",1,0,0,1,1,0,0,1,1,1,1,1,"230_fig-1097677.33.peg.230.faa",TRUE
"10",1,0,0,1,1,1,1,1,1,1,1,0,"246_fig-1097677.33.peg.246.faa",TRUE
"11",1,0,0,1,1,1,1,1,1,0,0,0,"247_fig-1097677.33.peg.247.faa",TRUE
"12",1,0,0,1,1,1,1,0,0,1,1,1,"249_fig-1097677.33.peg.249.faa",TRUE
"13",1,0,0,1,1,1,1,1,1,1,1,1,"341_fig-1097677.33.peg.341.faa",TRUE
"14",1,0,0,1,1,1,1,1,1,1,1,1,"343_fig-1097677.33.peg.343.faa",TRUE
"15",1,0,0,1,1,1,1,1,1,1,1,0,"382_fig-1097677.33.peg.382.faa",TRUE
"16",1,1,0,1,1,0,0,1,1,0,0,1,"384_fig-1097677.33.peg.384.faa",TRUE
"17",1,0,0,1,1,1,1,1,1,0,0,1,"414_fig-1097677.33.peg.414.faa",TRUE
"18",1,1,0,1,1,1,1,0,0,1,1,1,"438_fig-1097677.33.peg.438.faa",TRUE
"19",1,0,0,1,1,1,1,1,1,1,1,1,"448_fig-1097677.33.peg.448.faa",TRUE
"20",1,1,0,1,1,1,1,1,1,1,1,1,"456_fig-1097677.33.peg.456.faa",TRUE
"21",1,0,0,1,1,1,1,1,1,1,1,1,"517_fig-1097677.33.peg.517.faa",TRUE
"22",1,0,0,1,1,1,1,0,0,1,1,0,"602_fig-1097677.33.peg.602.faa",TRUE
"23",1,0,0,1,1,1,1,0,0,1,1,1,"761_fig-1097677.33.peg.761.faa",TRUE
"24",1,0,0,1,1,1,1,1,1,1,1,1,"762_fig-1097677.33.peg.762.faa",TRUE
"25",1,0,0,1,1,1,1,0,0,1,1,1,"812_fig-1097677.33.peg.812.faa",TRUE
"26",1,0,0,1,1,1,1,1,1,1,1,1,"841_fig-1097677.33.peg.841.faa",TRUE
"27",1,0,0,1,1,1,1,0,0,1,1,0,"877_fig-1097677.33.peg.877.faa",TRUE
"28",1,0,0,1,1,1,1,1,1,1,1,1,"906_fig-1097677.33.peg.906.faa",TRUE
"29",1,0,0,1,0,1,1,1,1,1,1,1,"907_fig-1097677.33.peg.907.faa",TRUE
"30",1,0,0,1,1,1,1,1,1,1,1,1,"909_fig-1097677.33.peg.909.faa",TRUE
"31",1,0,0,1,1,1,1,1,1,1,1,1,"910_fig-1097677.33.peg.910.faa",TRUE
"32",1,1,0,1,1,1,1,1,1,1,1,1,"1009_fig-1097677.33.peg.1009.faa",TRUE
"33",1,0,0,1,1,1,1,1,1,1,1,1,"1022_fig-1097677.33.peg.1022.faa",TRUE
"34",1,0,0,1,1,0,0,1,1,1,1,0,"1073_fig-1097677.33.peg.1073.faa",TRUE
"35",1,0,0,1,1,1,1,0,0,1,1,0,"1167_fig-1097677.33.peg.1167.faa",TRUE
"36",1,0,0,0,1,1,1,1,1,1,1,1,"1168_fig-1097677.33.peg.1168.faa",TRUE
"37",1,0,0,1,1,1,1,0,0,1,1,1,"1173_fig-1097677.33.peg.1173.faa",TRUE
"38",1,0,0,1,1,1,1,0,0,1,1,1,"1174_fig-1097677.33.peg.1174.faa",TRUE
"39",1,0,0,1,1,1,1,1,1,0,0,1,"1198_fig-1097677.33.peg.1198.faa",TRUE
