Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,1097677.33.faa,1874630.22.faa,1874630.26.faa,31963.54.faa,31963.56.faa,31964.81.faa,31964.84.faa,31965.20.faa,31965.24.faa,33014.40.faa,33014.42.faa,443906.110.faa
30_fig-1097677.33.peg.30.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
31_fig-1097677.33.peg.31.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
33_fig-1097677.33.peg.33.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
34_fig-1097677.33.peg.34.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
40_fig-1097677.33.peg.40.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
44_fig-1097677.33.peg.44.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
45_fig-1097677.33.peg.45.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
48_fig-1097677.33.peg.48.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
49_fig-1097677.33.peg.49.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
53_fig-1097677.33.peg.53.faa,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0
78_fig-1097677.33.peg.78.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
85_fig-1097677.33.peg.85.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
86_fig-1097677.33.peg.86.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
88_fig-1097677.33.peg.88.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
89_fig-1097677.33.peg.89.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
90_fig-1097677.33.peg.90.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
91_fig-1097677.33.peg.91.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
92_fig-1097677.33.peg.92.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
95_fig-1097677.33.peg.95.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
96_fig-1097677.33.peg.96.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
97_fig-1097677.33.peg.97.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
98_fig-1097677.33.peg.98.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
99_fig-1097677.33.peg.99.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
100_fig-1097677.33.peg.100.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
101_fig-1097677.33.peg.101.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
102_fig-1097677.33.peg.102.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,1,1,0
103_fig-1097677.33.peg.103.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
104_fig-1097677.33.peg.104.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
107_fig-1097677.33.peg.107.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
109_fig-1097677.33.peg.109.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
110_fig-1097677.33.peg.110.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,0
112_fig-1097677.33.peg.112.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
113_fig-1097677.33.peg.113.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
116_fig-1097677.33.peg.116.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0
134_fig-1097677.33.peg.134.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
137_fig-1097677.33.peg.137.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
138_fig-1097677.33.peg.138.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
139_fig-1097677.33.peg.139.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
140_fig-1097677.33.peg.140.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
142_fig-1097677.33.peg.142.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
143_fig-1097677.33.peg.143.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
150_fig-1097677.33.peg.150.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
151_fig-1097677.33.peg.151.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
155_fig-1097677.33.peg.155.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,1
157_fig-1097677.33.peg.157.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,0,0,1
158_fig-1097677.33.peg.158.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,0,0,1
165_fig-1097677.33.peg.165.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,0
166_fig-1097677.33.peg.166.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,0
173_fig-1097677.33.peg.173.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,1
174_fig-1097677.33.peg.174.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
178_fig-1097677.33.peg.178.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,0,0,0
183_fig-1097677.33.peg.183.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1
184_fig-1097677.33.peg.184.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
185_fig-1097677.33.peg.185.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
186_fig-1097677.33.peg.186.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
187_fig-1097677.33.peg.187.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
188_fig-1097677.33.peg.188.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
189_fig-1097677.33.peg.189.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
193_fig-1097677.33.peg.193.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
194_fig-1097677.33.peg.194.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
200_fig-1097677.33.peg.200.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
201_fig-1097677.33.peg.201.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
202_fig-1097677.33.peg.202.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
204_fig-1097677.33.peg.204.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
207_fig-1097677.33.peg.207.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
210_fig-1097677.33.peg.210.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,0,1,1,1
212_fig-1097677.33.peg.212.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
214_fig-1097677.33.peg.214.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
215_fig-1097677.33.peg.215.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
216_fig-1097677.33.peg.216.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
217_fig-1097677.33.peg.217.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
228_fig-1097677.33.peg.228.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
229_fig-1097677.33.peg.229.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
230_fig-1097677.33.peg.230.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,1,1,1
231_fig-1097677.33.peg.231.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
232_fig-1097677.33.peg.232.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
234_fig-1097677.33.peg.234.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
235_fig-1097677.33.peg.235.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
236_fig-1097677.33.peg.236.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
238_fig-1097677.33.peg.238.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
240_fig-1097677.33.peg.240.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
241_fig-1097677.33.peg.241.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
242_fig-1097677.33.peg.242.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
243_fig-1097677.33.peg.243.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
246_fig-1097677.33.peg.246.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,0
247_fig-1097677.33.peg.247.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,0,0,0
249_fig-1097677.33.peg.249.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,1
255_fig-1097677.33.peg.255.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
258_fig-1097677.33.peg.258.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
259_fig-1097677.33.peg.259.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
260_fig-1097677.33.peg.260.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
261_fig-1097677.33.peg.261.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
262_fig-1097677.33.peg.262.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
263_fig-1097677.33.peg.263.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
264_fig-1097677.33.peg.264.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
265_fig-1097677.33.peg.265.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
266_fig-1097677.33.peg.266.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
273_fig-1097677.33.peg.273.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
276_fig-1097677.33.peg.276.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
277_fig-1097677.33.peg.277.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
283_fig-1097677.33.peg.283.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
284_fig-1097677.33.peg.284.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
285_fig-1097677.33.peg.285.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
286_fig-1097677.33.peg.286.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
287_fig-1097677.33.peg.287.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,1
288_fig-1097677.33.peg.288.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
289_fig-1097677.33.peg.289.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
