Genomes		AAD_1--ALKL_1	AAD_2--BCL_1	AAD_3--ALKN_1	AAD_4--ALKB_1	AAD_5--ALKM_1	AAD_6--ALKG_1	AAD_7--ALKF_1	AAD_8--RUBA_1	AAD_9--ALKT_1	AAD_10--RUBB_1	AAD_11--ALKJ_1	AAD_12--ALKH_1	AAD_13--ALKK_1	AAD_14--ALKS_1	AAD_15--ALKR_1	AAD_16--AUPA_1	AAD_17--ALMA_1	AAD_18--LADA_1
Aestuariibacter_aggregatus_GCA_900129565_		0	0	10	0	0	0	0	0	1	0	1	10	4	0	1	0	0	0
Aestuariibacter_halophilus_GCA_020687825_		0	1	18	1	1	0	0	0	0	0	2	6	2	0	1	0	1	0
Aestuariibacter_m1_017794925_		0	0	14	0	0	0	0	0	0	0	1	8	4	0	1	0	1	0
Aestuariibacter_salexigens_GCA_000429145_		0	0	14	1	1	0	0	0	0	0	1	5	4	0	0	0	1	0
Aestuariibacter_sp._GCA_018860805_		0	0	6	0	0	0	0	0	1	0	1	10	2	0	1	0	0	0
Aestuariibacter_sp._GCA_025751585_		0	0	12	0	0	0	0	0	0	0	2	5	4	0	0	0	0	0
Agarivorans_aestuarii_GCA_019670125_		0	1	26	0	0	0	0	0	2	0	1	8	2	0	1	0	0	0
Agarivorans_albus_GCA_019670105_		0	1	29	0	0	0	0	0	2	0	1	8	2	0	1	0	0	0
Agarivorans_gilvus_GCA_001420915_		0	0	27	0	0	0	0	0	2	0	0	7	3	0	1	0	0	0
Agarivorans_sp._GCA_009363235_		0	1	32	0	0	0	0	0	2	0	1	8	2	0	1	0	0	0
Agarivorans_sp._GCA_023238625_		0	0	26	0	0	0	0	0	1	0	1	6	3	0	1	0	0	0
Agarivorans_sp._GCA_023373605_		0	1	32	0	0	0	0	0	2	0	1	8	2	0	1	0	0	0
Algibacillus_agarilyticus_GCA_003286125_		0	0	20	0	0	0	0	0	1	1	0	5	2	0	0	0	0	0
Alginatibacterium_sediminis_GCA_003610775_		0	0	22	0	0	0	0	0	2	1	2	9	4	0	1	0	0	0
Aliagarivorans_marinus_GCA_000429485_		0	0	30	0	0	0	0	0	4	1	0	9	3	0	0	0	0	0
Aliagarivorans_taiwanensis_GCA_000429505_		0	1	24	0	0	0	0	0	2	1	0	6	3	0	0	0	0	0
Aliiglaciecola_lipolytica_GCA_018860635_		0	0	4	0	0	0	0	0	1	0	2	12	4	0	0	0	0	0
